Overall Num,Datetime,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes
1,2022-04-23 14:20:23,1,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,1,0,20220423_142023.jpg,y,
2,2022-04-23 14:20:31,1,2,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,2,40,20220423_142031.jpg,y,
3,2022-04-23 14:20:49,1,3,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,3,80,20220423_142049.jpg,y,
4,2022-04-23 14:20:54,1,4,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,4,120,20220423_142054.jpg,y,
5,2022-04-23 14:21:00,1,5,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,5,160,20220423_142100.jpg,y,
6,2022-04-23 14:21:08,1,6,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,6,200,20220423_142108.jpg,y,
7,2022-04-23 14:33:10,1,7,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,1,0,20220423_143310.jpg,y,
8,2022-04-23 14:33:24,1,8,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,2,40,20220423_143324.jpg,y,
9,2022-04-23 14:33:36,1,9,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,3,80,20220423_143336.jpg,y,
10,2022-04-23 14:33:46,1,10,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,4,120,20220423_143346.jpg,y,
11,2022-04-23 14:33:55,1,11,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,5,160,20220423_143355.jpg,y,
12,2022-04-23 14:34:01,1,12,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,6,200,20220423_143401.jpg,y,
13,2022-04-23 14:37:56,1,13,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,1,0,20220423_143756.jpg,y,
14,2022-04-23 14:38:10,1,14,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,2,40,20220423_143810.jpg,y,
15,2022-04-23 14:38:15,1,15,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,3,80,20220423_143815.jpg,y,
16,2022-04-23 14:38:24,1,16,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,4,120,20220423_143824.jpg,y,
17,2022-04-23 14:38:29,1,17,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,5,160,20220423_143829.jpg,y,
18,2022-04-23 14:38:34,1,18,1,3,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,6,200,20220423_143834.jpg,y,
19,2022-04-23 00:00:00,1,19,2,5,1,White,5,0,M,Primacare,Vinyl,Glove,Middle,,1,FAIL,None,x,
20,2022-04-23 00:00:00,1,20,3,6,1,White,5,0,M,Primacare,Vinyl,Glove,Middle,,1,FAIL,None,x,
21,2022-04-23 00:00:00,1,21,4,7,1,White,4,0,M,Primacare,Vinyl,Glove,Middle,,1,FAIL,None,x,
22,2022-04-23 14:51:06,1,22,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,1,0,20220423_145106.jpg,y,
23,2022-04-23 14:51:16,1,23,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,2,40,20220423_145116.jpg,y,
24,2022-04-23 14:51:24,1,24,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,3,80,20220423_145124.jpg,y,
25,2022-04-23 14:51:29,1,25,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,4,120,20220423_145129.jpg,y,
26,2022-04-23 14:51:34,1,26,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,5,160,20220423_145134.jpg,y,
27,2022-04-23 14:51:42,1,27,5,8,1,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.3,6,200,20220423_145142.jpg,y,
28,2022-04-23 14:59:04,1,28,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,1,0,20220423_145904.jpg,y,
29,2022-04-23 14:59:13,1,29,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,2,40,20220423_145913.jpg,y,
30,2022-04-23 14:59:17,1,30,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,3,80,20220423_145917.jpg,y,
31,2022-04-23 14:59:20,1,31,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,4,120,20220423_145920.jpg,y,
32,2022-04-23 14:59:24,1,32,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,5,160,20220423_145924.jpg,y,
33,2022-04-23 14:59:29,1,33,5,9,2,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.05,6,200,20220423_145929.jpg,y,
34,2022-04-23 15:03:15,1,34,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,1,0,20220423_150315.jpg,y,
35,2022-04-23 15:03:20,1,35,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,2,40,20220423_150320.jpg,y,
36,2022-04-23 15:03:24,1,36,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,3,80,20220423_150324.jpg,y,
37,2022-04-23 15:03:30,1,37,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,4,120,20220423_150330.jpg,y,
38,2022-04-23 15:03:34,1,38,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,5,160,20220423_150334.jpg,y,
39,2022-04-23 15:03:41,1,39,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,6,200,20220423_150341.jpg,y,
40,2022-04-23 15:07:44,1,40,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,1,0,20220423_150744.jpg,y,
41,2022-04-23 15:07:55,1,41,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,2,40,20220423_150755.jpg,y,
42,2022-04-23 15:07:59,1,42,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,3,80,20220423_150759.jpg,y,
43,2022-04-23 15:08:03,1,43,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,4,120,20220423_150803.jpg,y,
44,2022-04-23 15:08:08,1,44,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,5,160,20220423_150808.jpg,y,
45,2022-04-23 15:08:14,1,45,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,6,200,20220423_150814.jpg,y,
46,2022-04-23 15:12:07,1,46,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,1,0,20220423_151207.jpg,y,
47,2022-04-23 15:12:14,1,47,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,2,40,20220423_151214.jpg,y,
48,2022-04-23 15:12:19,1,48,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,3,80,20220423_151219.jpg,y,
49,2022-04-23 15:12:23,1,49,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,4,120,20220423_151223.jpg,y,
50,2022-04-23 15:12:28,1,50,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,5,160,20220423_151228.jpg,y,
51,2022-04-23 15:12:36,1,51,7,12,1,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,6,200,20220423_151236.jpg,y,
52,2022-04-23 15:23:57,1,52,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,1,0,20220423_152357.jpg,y,
53,2022-04-23 15:24:05,1,53,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,2,40,20220423_152405.jpg,y,
54,2022-04-23 15:24:10,1,54,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,3,80,20220423_152410.jpg,y,
55,2022-04-23 15:24:27,1,55,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,4,120,20220423_152427.jpg,y,
56,2022-04-23 15:24:32,1,56,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,5,160,20220423_152432.jpg,y,
57,2022-04-23 15:24:37,1,57,8,13,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.2,6,200,20220423_152437.jpg,y,
58,,1,58,9,14,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Palm,,1,FAIL,None,x,
59,,1,59,10,15,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Palm,,1,FAIL,None,x,
60,2022-04-23 15:31:38,1,60,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,1,0,20220423_153138.jpg,y,
61,2022-04-23 15:31:49,1,61,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,2,40,20220423_153149.jpg,y,
62,2022-04-23 15:31:53,1,62,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,3,80,20220423_153153.jpg,y,
63,2022-04-23 15:32:07,1,63,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,4,120,20220423_153207.jpg,y,
64,2022-04-23 15:32:12,1,64,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,5,160,20220423_153212.jpg,y,
65,2022-04-23 15:32:18,1,65,6,16,2,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.7,6,200,20220423_153218.jpg,y,
66,2022-04-23 15:34:12,1,66,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,1,0,20220423_153412.jpg,y,
67,2022-04-23 15:34:17,1,67,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,2,40,20220423_153417.jpg,y,
68,2022-04-23 15:34:22,1,68,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,3,80,20220423_153422.jpg,y,
69,2022-04-23 15:34:26,1,69,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,4,120,20220423_153426.jpg,y,
70,2022-04-23 15:34:30,1,70,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,5,160,20220423_153430.jpg,y,
71,2022-04-23 15:34:34,1,71,7,17,2,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.0,6,200,20220423_153434.jpg,y,
72,2022-04-23 15:38:47,1,72,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,1,0,20220423_153847.jpg,y,
73,2022-04-23 15:38:57,1,73,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,2,40,20220423_153857.jpg,y,
74,2022-04-23 15:39:01,1,74,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,3,80,20220423_153901.jpg,y,
75,2022-04-23 15:39:04,1,75,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,4,120,20220423_153904.jpg,y,
76,2022-04-23 15:39:08,1,76,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,5,160,20220423_153908.jpg,y,
77,2022-04-23 15:39:12,1,77,8,18,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.1,6,200,20220423_153912.jpg,y,
78,2022-04-23 15:41:55,1,78,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,1,0,20220423_154155.jpg,y,
79,2022-04-23 15:42:00,1,79,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,2,40,20220423_154200.jpg,y,
80,2022-04-23 15:42:03,1,80,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,3,80,20220423_154203.jpg,y,
81,2022-04-23 15:42:07,1,81,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,4,120,20220423_154207.jpg,y,
82,2022-04-23 15:42:11,1,82,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,5,160,20220423_154211.jpg,y,
83,2022-04-23 15:42:15,1,83,6,19,3,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,6,200,20220423_154215.jpg,y,
84,2022-04-23 15:44:40,1,84,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,1,0,20220423_154440.jpg,y,
85,2022-04-23 15:44:48,1,85,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,2,40,20220423_154448.jpg,y,
86,2022-04-23 15:44:53,1,86,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,3,80,20220423_154453.jpg,y,
87,2022-04-23 15:44:58,1,87,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,4,120,20220423_154458.jpg,y,
88,2022-04-23 15:45:02,1,88,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,5,160,20220423_154502.jpg,y,
89,2022-04-23 15:45:06,1,89,7,20,3,White,5,0,L,STRONG-Black,Nitrile,Glove,Middle,3.2,6,200,20220423_154506.jpg,y,
90,2022-04-23 15:49:28,1,90,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,1,0,20220423_154928.jpg,y,
91,2022-04-23 15:49:34,1,91,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,2,40,20220423_154934.jpg,y,
92,2022-04-23 15:49:39,1,92,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,3,80,20220423_154939.jpg,y,
93,2022-04-23 15:49:44,1,93,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,4,120,20220423_154944.jpg,y,
94,2022-04-23 15:49:48,1,94,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,5,160,20220423_154948.jpg,y,
95,2022-04-23 15:49:53,1,95,8,21,3,White,5,0,M,STRONG-Black,Nitrile,Glove,Two,5.0,6,200,20220423_154953.jpg,y,
96,2022-04-23 16:11:15,1,96,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,1,0,20220423_161115.jpg,y,
97,2022-04-23 16:11:24,1,97,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,2,40,20220423_161124.jpg,y,
98,2022-04-23 16:11:29,1,98,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,3,80,20220423_161129.jpg,y,
99,2022-04-23 16:11:33,1,99,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,4,120,20220423_161133.jpg,y,
100,2022-04-23 16:11:39,1,100,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,5,160,20220423_161139.jpg,y,
101,2022-04-23 16:11:43,1,101,11,22,1,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.7,6,200,20220423_161143.jpg,y,
102,2022-04-23 16:17:57,1,102,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,1,0,20220423_161757.jpg,y,
103,2022-04-23 16:18:02,1,103,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,2,40,20220423_161802.jpg,y,
104,2022-04-23 16:18:07,1,104,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,3,80,20220423_161807.jpg,y,
105,2022-04-23 16:18:11,1,105,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,4,120,20220423_161811.jpg,y,
106,2022-04-23 16:18:16,1,106,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,5,160,20220423_161816.jpg,y,
107,2022-04-23 16:18:24,1,107,12,23,1,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.6,6,200,20220423_161824.jpg,y,
108,2022-04-23 16:27:03,1,108,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,1,0,20220423_162703.jpg,y,
109,2022-04-23 16:27:10,1,109,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,2,40,20220423_162710.jpg,y,
110,2022-04-23 16:27:15,1,110,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,3,80,20220423_162715.jpg,y,
111,2022-04-23 16:27:20,1,111,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,4,120,20220423_162720.jpg,y,
112,2022-04-23 16:27:26,1,112,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,5,160,20220423_162726.jpg,y,
113,2022-04-23 16:27:34,1,113,13,24,1,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,6,200,20220423_162734.jpg,y,
114,2022-04-23 16:40:14,1,114,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,1,0,20220423_164014.jpg,y,
115,2022-04-23 16:40:23,1,115,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,2,40,20220423_164023.jpg,y,
116,2022-04-23 16:40:28,1,116,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,3,80,20220423_164028.jpg,y,
117,2022-04-23 16:40:33,1,117,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,4,120,20220423_164033.jpg,y,
118,2022-04-23 16:40:38,1,118,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,5,160,20220423_164038.jpg,y,
119,2022-04-23 16:40:44,1,119,14,25,1,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.65,6,200,20220423_164044.jpg,y,
120,2022-04-23 16:44:32,1,120,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,1,0,20220423_164432.jpg,y,
121,2022-04-23 16:44:42,1,121,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,2,40,20220423_164442.jpg,y,
122,2022-04-23 16:44:46,1,122,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,3,80,20220423_164446.jpg,y,
123,2022-04-23 16:44:50,1,123,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,4,120,20220423_164450.jpg,y,
124,2022-04-23 16:44:55,1,124,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,5,160,20220423_164455.jpg,y,
125,2022-04-23 16:45:00,1,125,11,26,2,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,6,200,20220423_164500.jpg,y,
126,2022-04-23 16:47:49,1,126,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,1,0,20220423_164749.jpg,y,
127,2022-04-23 16:47:54,1,127,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,2,40,20220423_164754.jpg,y,
128,2022-04-23 16:47:59,1,128,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,3,80,20220423_164759.jpg,y,
129,2022-04-23 16:48:03,1,129,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,4,120,20220423_164803.jpg,y,
130,2022-04-23 16:48:08,1,130,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,5,160,20220423_164808.jpg,y,
131,2022-04-23 16:48:12,1,131,12,27,2,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,6,200,20220423_164812.jpg,y,
132,2022-04-23 16:52:44,1,132,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,1,0,20220423_165244.jpg,y,
133,2022-04-23 16:52:51,1,133,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,2,40,20220423_165251.jpg,y,
134,2022-04-23 16:52:55,1,134,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,3,80,20220423_165255.jpg,y,
135,2022-04-23 16:52:59,1,135,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,4,120,20220423_165259.jpg,y,
136,2022-04-23 16:53:04,1,136,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,5,160,20220423_165304.jpg,y,
137,2022-04-23 16:53:10,1,137,13,28,2,White,3,0,Unspecified,Durex,Polyisoprene,Condom,Precut,3.55,6,200,20220423_165310.jpg,y,
138,2022-04-23 16:56:10,1,138,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,1,0,20220423_165610.jpg,y,
139,2022-04-23 16:56:16,1,139,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,2,40,20220423_165616.jpg,y,
140,2022-04-23 16:56:21,1,140,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,3,80,20220423_165621.jpg,y,
141,2022-04-23 16:56:25,1,141,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,4,120,20220423_165625.jpg,y,
142,2022-04-23 16:56:29,1,142,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,5,160,20220423_165629.jpg,y,
143,2022-04-23 16:56:33,1,143,14,29,2,White,3,0,Unspecified,Skyn,Polyisoprene,Condom,Precut,3.75,6,200,20220423_165633.jpg,y,
144,2022-04-23 17:01:29,1,144,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,1,0,20220423_170129.jpg,y,
145,2022-04-23 17:01:39,1,145,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,2,40,20220423_170139.jpg,y,
146,2022-04-23 17:01:44,1,146,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,3,80,20220423_170144.jpg,y,
147,2022-04-23 17:01:49,1,147,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,4,120,20220423_170149.jpg,y,
148,2022-04-23 17:01:54,1,148,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,5,160,20220423_170154.jpg,y,
149,2022-04-23 17:02:09,1,149,11,30,3,White,3,0,Unspecified,Trojan,Latex,Condom,Precut,3.55,6,200,20220423_170209.jpg,y,
150,2022-04-23 17:05:06,1,150,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,1,0,20220423_170506.jpg,y,
151,2022-04-23 17:05:11,1,151,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,2,40,20220423_170511.jpg,y,
152,2022-04-23 17:05:16,1,152,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,3,80,20220423_170516.jpg,y,
153,2022-04-23 17:05:20,1,153,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,4,120,20220423_170520.jpg,y,
154,2022-04-23 17:05:25,1,154,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,5,160,20220423_170525.jpg,y,
155,2022-04-23 17:05:30,1,155,12,31,3,White,3,0,Unspecified,Lifestyle,Latex,Condom,Precut,3.65,6,200,20220423_170530.jpg,y,
