,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
0,1,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,1,0,20220423_142023.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F693dcac4-051b-2abf-6010-9d6658109d60-20220423_142023.jpg?Expires=1662175964325&KeyName=labelbox-assets-key-3&Signature=rB2EDYbZKtm-zylSAXz8t3w_ZLU,cl2cez4xr5ki20zagcvnuf7sk,257.0,261.0,585.0,2470.0,0.0,0.0
1,1,2,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,2,40,20220423_142031.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F8ee2e0aa-418b-83b4-7751-872f756ef0d8-20220423_142031.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=obaISsxdbW2OeeLnHbYNCWwHVpQ,cl2cf020i5j8u0zdfhye4ehjg,190.0,287.0,614.0,2470.0,0.2607003891050583,-0.09961685823754785
2,1,3,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,3,80,20220423_142049.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fdea7e873-6eae-0208-0540-a8f8f9c187cc-20220423_142049.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=fxMJxumJn9ilMMRSi9Tu-hNu1_Y,cl2cf0jjk5jak0zdf8j436nbt,120.0,252.0,655.0,2464.0,0.5330739299610895,0.03448275862068961
3,1,4,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,4,120,20220423_142054.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F943cab09-0c2c-1220-e6f0-d5134abc698f-20220423_142054.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=5B_nvuZk8JRsUK0rsnZssc75kcQ,cl2cf0z834fgl0zbx37jcdzhz,90.0,250.0,670.0,2463.0,0.6498054474708171,0.04214559386973182
4,1,5,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,5,160,20220423_142100.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fa92fa255-d1a8-f14f-74bf-720424b2eec3-20220423_142100.jpg?Expires=1662175964325&KeyName=labelbox-assets-key-3&Signature=lytvtrpGajtdI1b4IlxO0UppqTk,cl2cez4r95jdf0zam6uu20850,65.0,361.0,672.0,2470.0,0.7470817120622568,-0.3831417624521072
5,1,6,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,2.7,6,200,20220423_142108.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F92ace430-e51d-d85c-70fc-3d616430c490-20220423_142108.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=95M_6PA6DYwiTSbZyEP6cQ74uLw,cl2cf20t25htx0zcaayek9mqx,44.0,140.0,681.0,2468.0,0.8287937743190661,0.46360153256704983
6,1,7,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,1,0,20220423_143310.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F7514df0f-b16f-d5d0-6915-77662032c57f-20220423_143310.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=Gpdpu-QVP4I072sLWJ6Zxw10XPY,cl2cf31h15je20zahducjah7x,277.0,243.0,685.0,2435.0,0.0,0.0
7,1,8,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,2,40,20220423_143324.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fbdf002ed-162b-b204-ca31-16d8b19f1bb8-20220423_143324.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=s3hDDoj1FC3_nVsJXEnKN_kfMHA,cl2cf3n8l5rr00zcchksf9e5l,210.0,221.0,729.0,2433.0,0.24187725631768953,0.09053497942386834
8,1,9,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,3,80,20220423_143336.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fccfdcb1f-5ee4-34cb-bce3-dd7235989bbc-20220423_143336.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=Pf0xIE4dq8aq-JVuPR_6KFH_HGc,cl2cf4d565jiu0zah44lj2vxp,146.0,192.0,762.0,2433.0,0.4729241877256317,0.2098765432098766
9,1,10,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,3.2,4,120,20220423_143346.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F8843bee5-e78e-59bd-09a0-83cb23856efc-20220423_143346.jpg?Expires=1662175964326&KeyName=labelbox-assets-key-3&Signature=_yZQMHDeAHV4etSZzu0LbEGONc8,cl2cf7hif5k5j0zamazwpd21k,116.0,236.0,774.0,2439.0,0.5812274368231047,0.028806584362139898
