,Datetime,Day Ct,Day Num,Day Trial Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Hand,Opening Distance,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,Ann Ct,Reviews Ct,Open Issues,Skipped,created_at,updated_at,Label Seconds,Created By,Agreement,Benchmark Agreement,Benchmark ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
0,2022-04-23 14:20:23.136,1,1,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,1,0,20220423_142023.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F693dcac4-051b-2abf-6010-9d6658109d60-20220423_142023.jpg?Expires=1680482401202&KeyName=labelbox-assets-key-3&Signature=KW3w-8rWqD7mK0RZ24uRt284NpY,cl2cez4xr5ki20zagcvnuf7sk,1,0,0.0,False,2022-04-23T22:10:24.000Z,2023-03-04T18:55:36.000Z,24.533,ryerrabelli@gmail.com,0.5045242232100549,-1.0,,257.0,261.0,585.0,2470.0,0.0,0.0
2,2022-04-23 14:20:30.912,1,2,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,2,40,20220423_142031.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F8ee2e0aa-418b-83b4-7751-872f756ef0d8-20220423_142031.jpg?Expires=1680482401202&KeyName=labelbox-assets-key-3&Signature=1spNnUcjDDruqIDyIUVxoBYj2fc,cl2cf020i5j8u0zdfhye4ehjg,1,0,0.0,False,2022-04-23T22:10:44.000Z,2022-04-23T22:10:44.000Z,20.001,ryerrabelli@gmail.com,-1.0,-1.0,,190.0,287.0,614.0,2470.0,0.2607003891050583,-0.09961685823754785
3,2022-04-23 14:20:49.056,1,3,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,3,80,20220423_142049.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fdea7e873-6eae-0208-0540-a8f8f9c187cc-20220423_142049.jpg?Expires=1680482401202&KeyName=labelbox-assets-key-3&Signature=CirzJveKqEDULJjz7bHr1k_sDuE,cl2cf0jjk5jak0zdf8j436nbt,1,0,0.0,False,2022-04-23T22:11:33.000Z,2022-04-23T22:12:19.000Z,1.03,ryerrabelli@gmail.com,-1.0,-1.0,,120.0,252.0,655.0,2464.0,0.5330739299610895,0.03448275862068961
4,2022-04-23 14:20:54.240,1,4,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,4,120,20220423_142054.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F943cab09-0c2c-1220-e6f0-d5134abc698f-20220423_142054.jpg?Expires=1680482401203&KeyName=labelbox-assets-key-3&Signature=-lspxk8TBDqBxDQ5wmH330S8DDg,cl2cf0z834fgl0zbx37jcdzhz,1,0,0.0,False,2022-04-23T22:12:19.000Z,2022-04-23T22:12:48.000Z,3.64,ryerrabelli@gmail.com,-1.0,-1.0,,90.0,250.0,670.0,2463.0,0.6498054474708171,0.04214559386973182
5,2022-04-23 14:21:00.288,1,5,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,5,160,20220423_142100.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fa92fa255-d1a8-f14f-74bf-720424b2eec3-20220423_142100.jpg?Expires=1680482401198&KeyName=labelbox-assets-key-3&Signature=R2KivZVK3btx_WcrdpD6iDnUZVM,cl2cez4r95jdf0zam6uu20850,1,0,0.0,False,2022-04-23T22:10:01.000Z,2023-03-05T02:45:24.000Z,2.39,ryerrabelli@gmail.com,-1.0,-1.0,,65.0,361.0,672.0,2470.0,0.7470817120622568,-0.3831417624521072
6,2022-04-23 14:21:08.064,1,6,1,1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,2.7,6,200,20220423_142108.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F92ace430-e51d-d85c-70fc-3d616430c490-20220423_142108.jpg?Expires=1680482401203&KeyName=labelbox-assets-key-3&Signature=1l61m3j5aZ85oCzEmXzchZy-8Xw,cl2cf20t25htx0zcaayek9mqx,1,0,0.0,False,2022-04-23T22:12:48.000Z,2022-04-23T22:13:22.000Z,3.833,ryerrabelli@gmail.com,-1.0,-1.0,,44.0,140.0,681.0,2468.0,0.8287937743190661,0.46360153256704983
7,2022-04-23 14:33:10.368,1,7,2,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,3.2,1,0,20220423_143310.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F7514df0f-b16f-d5d0-6915-77662032c57f-20220423_143310.jpg?Expires=1680482401203&KeyName=labelbox-assets-key-3&Signature=K0EtKCuanyEBUvHPqqFZmK8NK5A,cl2cf31h15je20zahducjah7x,1,0,0.0,False,2022-04-23T22:13:22.000Z,2022-04-23T22:14:10.000Z,0.995,ryerrabelli@gmail.com,-1.0,-1.0,,277.0,243.0,685.0,2435.0,0.0,0.0
8,2022-04-23 14:33:24.192,1,8,2,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,3.2,2,40,20220423_143324.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fbdf002ed-162b-b204-ca31-16d8b19f1bb8-20220423_143324.jpg?Expires=1680482401203&KeyName=labelbox-assets-key-3&Signature=iQwNiNT9AqA-bgjPW3_oRLENVgg,cl2cf3n8l5rr00zcchksf9e5l,1,0,0.0,False,2022-04-23T22:15:48.000Z,2022-04-23T22:16:25.000Z,1.842,ryerrabelli@gmail.com,-1.0,-1.0,,210.0,221.0,729.0,2433.0,0.24187725631768953,0.09053497942386834
9,2022-04-23 14:33:36.288,1,9,2,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,3.2,3,80,20220423_143336.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fccfdcb1f-5ee4-34cb-bce3-dd7235989bbc-20220423_143336.jpg?Expires=1680482401204&KeyName=labelbox-assets-key-3&Signature=02szXHiQu1UNatBE4gsfS-2yp3w,cl2cf4d565jiu0zah44lj2vxp,1,0,0.0,False,2022-04-23T22:16:25.000Z,2022-04-23T22:16:45.000Z,4.696,ryerrabelli@gmail.com,-1.0,-1.0,,146.0,192.0,762.0,2433.0,0.4729241877256317,0.2098765432098766
10,2022-04-23 14:33:45.792,1,10,2,1,2,2,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,A,3.2,4,120,20220423_143346.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F8843bee5-e78e-59bd-09a0-83cb23856efc-20220423_143346.jpg?Expires=1680482401204&KeyName=labelbox-assets-key-3&Signature=v81F0J9kz7FL2FKQpaOwTvlbWqE,cl2cf7hif5k5j0zamazwpd21k,1,0,0.0,False,2022-04-23T22:16:45.000Z,2022-04-23T22:17:15.000Z,4.493,ryerrabelli@gmail.com,-1.0,-1.0,,116.0,236.0,774.0,2439.0,0.5812274368231047,0.028806584362139898
